path	block_type	mask_type	reference_block	link_status	runtime_token
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Enable	EnablePort		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Enable	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/1-D Lookup Table	Lookup_n-D		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/1-D Lookup Table	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Abs	Abs		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Abs	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Constant1	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Constant1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq	SubSystem		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Lmq	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Lmq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Math Function	Math		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Math Function	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Math Function1	Math		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Math Function1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Mux1	Mux		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Mux1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Sum2	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Sum2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/u2	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/u2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Laq	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq/Laq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Lmq	Gain		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Lmq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Lmq_sat	UnitDelay		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Lmq_sat	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Product	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Product	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Switch	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Switch	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq	SubSystem		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/phi	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/phi	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/Laq	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/Laq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/1//Ll_q	Gain		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/1//Ll_q	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/Product3	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/Product3	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/phiq phikq1 (phikq2)	Selector		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/phiq phikq1 (phikq2)	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/sum1	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/sum1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/phimq	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/phimq/phimq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Lmq_sat 	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Lmq_sat 	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq_	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmq_sat/Laq_	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Mux	Mux		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Mux	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Mux1	Mux		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Mux1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Product1	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Product1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Switch1	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Switch1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Switch2	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Switch2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L	SubSystem		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Lmq	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Lmq	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Lmd	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Lmd	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Sum2	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Sum2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Update Lmd rows[2,3,4] col[2,3,4]	Assignment		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Update Lmd rows[2,3,4] col[2,3,4]	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Update Lmq rows[1,5, (6)] col[1,5, (6)] 	Assignment		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/Update Lmq rows[1,5, (6)] col[1,5, (6)] 	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/u1	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/u1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/u5	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/u5	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Update Matrix L/L	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Update Matrix L/L	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/inversion	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/inversion	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/u1	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/u1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/u2	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/u2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/u3	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/u3	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Linv	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Linv	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/R*Linv	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/R*Linv	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Lmqd	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Lmqd	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Saturation/Laqd	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Saturation/Laqd	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Selector1	Selector		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Selector1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Selector3	Selector		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Selector3	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Sum1	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Sum1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Switch	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Switch	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Switch1	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Switch1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Switch2	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Switch2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Switch3	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Switch3	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/change Iq Id  current signs	Gain		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/change Iq Id  current signs	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi	SubSystem		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/v	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/v	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/A	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/A	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Ad*x(k-1) + Bd*( u(k-1) + u(k))	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Ad*x(k-1) + Bd*( u(k-1) + u(k))	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Digital Clock	DigitalClock		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Digital Clock	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/IC	Switch		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/IC	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Product1	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Product1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Product2	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Product2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem	SubSystem		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/A	Inport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/A	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/Product4	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/Product4	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/Sum1	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/Sum1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/Sum5	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/Sum5	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/inversion	Product		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/inversion	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/u5	Constant		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/u5	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/wbase*Ts//2	Gain		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/wbase*Ts//2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/wbase*Ts//2 	Gain		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/wbase*Ts//2 	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/Ad	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/Ad	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/Subsystem/Bd	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/Subsystem/Bd	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/fluxes	UnitDelay		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/fluxes	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/sum	Sum		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/sum	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/voltages	UnitDelay		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/voltages	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/phi(k-1)	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/phi(k-1)	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi/phi(k)	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi/phi(k)	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phi(k-1) or phi(k) (iterative model)	Selector		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phi(k-1) or phi(k) (iterative model)	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/I	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/I	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Te	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Te	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/phimqd	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/phimqd	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/Synchronous Machine Discrete Model/Lmqd	Outport		spsSynchronousMachineModel/Discrete trapezoidal/Synchronous Machine Discrete Model/Lmqd	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/[ Vkd =0 Vkq1=0  Vkq2=0 ]	Constant		spsSynchronousMachineModel/Discrete trapezoidal/[ Vkd =0 Vkq1=0  Vkq2=0 ]	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation	SubSystem		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/v	Inport		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/v	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/theta	Inport		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/theta	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/1_Vb	Gain		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/1_Vb	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/Elementary Math	Trigonometry		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/Elementary Math	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/Fcn2	Fcn		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/Fcn2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/Fcn3	Fcn		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/Fcn3	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/Mux1	Mux		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/Mux1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/Mux2	Mux		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/Mux2	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/Mux3	Mux		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/Mux3	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/sin,cos	Outport		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/sin,cos	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/abc to qd transformation/vq,vd	Outport		spsSynchronousMachineModel/Discrete trapezoidal/abc to qd transformation/vq,vd	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/ia,ib	Selector		spsSynchronousMachineModel/Discrete trapezoidal/ia,ib	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/qd to abc transformation	SubSystem		spsSynchronousMachineModel/Discrete trapezoidal/qd to abc transformation	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/qd to abc transformation/sin,cos	Inport		spsSynchronousMachineModel/Discrete trapezoidal/qd to abc transformation/sin,cos	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/qd to abc transformation/iq,id	Inport		spsSynchronousMachineModel/Discrete trapezoidal/qd to abc transformation/iq,id	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/qd to abc transformation/Fcn	Fcn		spsSynchronousMachineModel/Discrete trapezoidal/qd to abc transformation/Fcn	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/qd to abc transformation/Fcn1	Fcn		spsSynchronousMachineModel/Discrete trapezoidal/qd to abc transformation/Fcn1	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/qd to abc transformation/Mux	Mux		spsSynchronousMachineModel/Discrete trapezoidal/qd to abc transformation/Mux	implicit	
IEEE39bus/SS_EastSystem1/GT 5/Machine 5 520 MVA 22 kV/Electrical model/qd to abc transformation/Mux1_	Mux		spsSynchronousMachineModel/Discrete trapezoidal/qd to abc transformation/Mux1_	implicit	
