path	block_type	mask_type	reference_block	link_status	runtime_token
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Mux6	Mux			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Mux7	Mux			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Mux8	Mux			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Mux9	Mux			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Sum	Sum			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Switch	Switch			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Switch1	Switch			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Switch2	Switch			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Switch3	Switch			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Switch4	Switch			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Switch5	Switch			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 15p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 15q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 16p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 16q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 18p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 18q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 20p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 20q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 21p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 21q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 23p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 23p1	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 24p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 24q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 25p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 25q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 26p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 26q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 27p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 27q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 28p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 28q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 29p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 29q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 3p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/laod 3q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 39p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 39q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 4	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 4p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 7p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 7q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 8p	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/load 8q	Constant			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Westsys1_load	Outport			none	
IEEE39bus/SM_measurement/Constant//Realistic Load profile/Westsys2_laod	Outport			none	
